Year,Co2_Global,YoY_Global_Change
1750,55835622.0,
1751,56443374.0,0.010884664274000588
1752,57031008.0,0.010411036023466602
1753,57662940.0,0.01108049852459203
1754,58401480.0,0.012807879723094162
1755,58760808.0,0.006152720787212962
1756,59459484.0,0.01189017006028914
1757,60563616.0,0.018569485063139712
1758,61298148.0,0.012128271865405216
1759,62033124.0,0.011990182802912752
1760,63085986.0,0.016972577424925417
1761,64487310.0,0.022212920631849986
1762,65713188.0,0.01900960049349254
1763,67149552.0,0.021858078168418782
1764,68381892.0,0.01835217009340573
1765,69860916.0,0.021628883857147452
1766,71256480.0,0.019976319806628284
1767,72915054.0,0.023276114677570403
1768,74801616.0,0.025873422517111555
1769,76680444.0,0.02511747874537895
1770,78583296.0,0.02481534926949558
1771,80216928.0,0.020788540098903407
1772,81741042.0,0.018999904857987193
1773,82848828.0,0.013552384125467887
1774,84074490.0,0.014793957012886105
1775,86033520.0,0.023301122611626868
1776,87924744.0,0.021982408716974433
1777,89757222.0,0.020841436854226236
1778,91460898.0,0.01898093503829701
1779,93211410.0,0.01913945782601001
1780,95272356.0,0.022110447637258224
1781,97406298.0,0.02239833346831488
1782,99485724.0,0.02134796253112925
1783,102376512.0,0.02905731479624163
1784,104826552.0,0.023931661199787735
1785,107787104.0,0.028242386528176455
1786,110681312.0,0.026851152805812406
1787,113151116.0,0.022314552975302604
1788,115713704.0,0.022647483211743147
1789,119176880.0,0.029928831938523137
1790,122384900.0,0.02691814049839203
1791,125586836.0,0.02616283544783715
1792,131571620.0,0.047654548761782545
1793,133779906.0,0.016783908262283376
1794,135114272.0,0.009974337999609562
1795,133887812.0,-0.009077205404326216
1796,132724590.0,-0.00868803502442772
1797,132536804.0,-0.0014148546249040939
1798,138631914.0,0.04598805626850644
1799,164907582.0,0.18953549180602103
1800,196280815.96,0.19024737116089674
1801,191377692.0,-0.02498014865089626
1802,241280254.0,0.26075433076076604
1803,176633804.0,-0.2679309596549082
1804,189944553.94,0.07535788528904686
1805,186825268.0,-0.016422086736876507
1806,195555900.0,0.04673153740638547
1807,216444214.0,0.10681505390530277
1808,212197394.03,-0.019620852373535835
1809,217190610.0,0.023530995716630088
1810,236112290.0,0.08712015680604246
1811,240158010.1,0.01713472898848245
1812,243911774.0,0.01563039225065599
1813,246186936.0,0.00932780719310422
1814,252228138.03,0.024539084519090926
1815,260312626.06,0.032052284464148206
1816,271644874.0,0.04353322430617723
1817,294211498.0,0.08307399167046303
1818,306783748.0,0.04273201450474917
1819,304046025.98,-0.00892394736633828
1820,302799624.0,-0.004099385861014326
1821,310690016.0,0.026058130111812794
1822,322389342.0004,0.037655944503862004
1823,336330787.8,0.04324412746741091
1824,343458856.0,0.021193623832733044
1825,362104112.0,0.05428672364762077
1826,365645654.0,0.009780452313670418
1827,391521396.0,0.07076726255852073
1828,396891822.0,0.013716813576134745
1829,394238000.0,-0.0066865121750984136
1830,529736521.0,0.3436972615526661
1831,494967356.00001,-0.06563482716720226
1832,486476860.97,-0.01715364645180728
1833,492409331.0,0.012194763011278864
1834,525784552.0,0.06777942435051054
1835,575722514.0,0.0949779939521691
1836,631863074.0,0.09751322665835516
1837,626531292.0,-0.00843819210109431
1838,624952370.0,-0.0025201007837291067
1839,646811576.0,0.03497739515733023
1840,701005438.0,0.08378616588024701
1841,720451694.0,0.027740520894504073
1842,762368242.0,0.058180927811101846
1843,778603276.0,0.021295527680178505
1844,833060768.0,0.06994254157235269
1845,907885386.5,0.08981892002865277
1846,920550298.0,0.01394990126322515
1847,994367602.0,0.08018823540699138
1848,1007980841.5,0.013690348994294776
1849,1073413674.0,0.0649147581045566
1850,1534709212.80798,0.4297462851288216
1851,1540458946.69,0.0037464646944420643
1852,1606520269.216,0.04288418244961778
1853,1676931380.03,0.043828336413309854
1854,1973487663.125,0.1768446142916682
1855,2004829774.296,0.015881584545286653
1856,2143608759.0904999,0.06922232828631669
1857,2164329753.42,0.009666406820567186
1858,2197013672.162,0.015101173326455442
1859,2325470186.35,0.0584686913038599
1860,2558188633.18,0.10007371764901829
1861,2697123264.08,0.05430976789514341
1862,2747314762.9995,0.01860927143669877
1863,2920872737.81,0.06317367676538477
1864,3151987215.44,0.07912514456322528
1865,3353429267.96,0.06390953983989434
1866,3464024703.4,0.032979802644615974
1867,3691412696.376,0.06564271691042345
1868,3781435343.2,0.02438704480601106
1869,4001229672.3605,0.058124576837138564
1870,4082119972.3990602,0.0202163601348182
1871,4341461749.24,0.06353115013631627
1872,4782315103.38,0.10154491265923848
1873,5071029086.12,0.06037117515237456
1874,4745023953.116,-0.06428776634240063
1875,5160846972.42,0.08763349214094784
1876,5243032656.8,0.015924844278314643
1877,5321638521.1,0.014992442245815862
1878,5367799253.37,0.008674157796884296
1879,5704885624.38,0.06279787210715293
1880,6440028550.9,0.1288619921455294
1881,6654098521.51,0.03324053129858928
1882,6999710567.596,0.05193972481302711
1883,7435890014.3,0.06231392605334585
1884,7499581277.5,0.008565385324085684
1885,7551176715.836,0.006879775873727123
1886,7643452849.71,0.012220099905817516
1887,8007365518.2098,0.04761103072855444
1888,8802385429.21,0.09928607719882643
1889,8880367653.26,0.0088592148886395
1890,9589023970.46,0.07980033539938525
1891,10027956850.059,0.045774510622893505
1892,10067106593.75,0.003904059847522179
1893,9916993671.8,-0.014911228022875589
1894,10359003190.29,0.0445709186794081
1895,10912040937.8,0.053387158720868744
1896,11297873078.28,0.03535838462110741
1897,11836434124.06,0.04766924199346634
1898,12440653986.380001,0.05104745702861635
1899,13529832049.8006,0.087549904097729
1900,14237630847.3,0.052313938184460396
1901,14600510686.51,0.02548737518916755
1902,14910105743.17,0.021204399168451404
1903,16137478732.33,0.08231819480705105
1904,16347541608.1,0.013017081494221205
1905,17323071879.289,0.05967443268079142
1906,18058338199.38,0.042444338118233116
1907,20499348333.90006,0.13517357508587713
1908,19863523635.4005,-0.031016824932336262
1909,20560240691.760002,0.03507519960445604
1910,21461129093.5,0.04381701631056534
1911,21831769231.41,0.017270300005895578
1912,22899971935.02,0.04892881984448372
1913,24812261907.225998,0.08350621466402797
1914,22454921468.3,-0.09500707544278653
1915,21986035814.4398,-0.020881197670725937
1916,23659548639.63,0.07611707900935394
1917,24567972018.02,0.038395634347325736
1918,24005803116.18,-0.022882185856759496
1919,20795162425.296,-0.1337443565351919
1920,24260858547.6,0.16665876666047086
1921,21438246845.86,-0.11634426276390886
1922,22607919015.54,0.05456006631931665
1923,25122096939.7405,0.11120784369726078
1924,25597715043.2005,0.018932261291756403
1925,25786014658.2,0.00735611028881733
1926,24979579863.9,-0.031274115251600176
1927,27725211094.75,0.10991502842759693
1928,27649144427.6,-0.0027435919925026253
1929,29699534089.308,0.07415743612164927
1930,27516842521.53,-0.07349245147127681
1931,24741798886.81,-0.10084891217256198
1932,22432051887.94,-0.09335404468513975
1933,23566711010.5,0.0505820478763257
1934,25658470777.2,0.08875908758621565
1935,26922647453.44,0.049269369449848055
1936,29410033316.79,0.09239009156330868
1937,31497879549.7001,0.07099095095952035
1938,29920532805.498,-0.05007787085201165
1939,31476907355.002,0.05201693965884213
1940,34287662327.0,0.08929577929298516
1941,34806547533.0,0.015133292000236498
1942,34365101935.86,-0.012682832065474603
1943,34982577770.098,0.017968107162623204
1944,35312393978.0,0.009428013283341308
1945,28659505941.7,-0.18840093482319042
1946,31425805052.53,0.09652291691480253
1947,35326885095.8,0.12413620070350251
1948,37351552837.0,0.05731237655710286
1949,36209016087.99,-0.030588734931475736
1950,40298548952.17,0.11294239131607986
1951,43447142057.814,0.07813167440299251
1952,44134380107.68,0.01581779646061654
1953,45396717673.68,0.028602136541175494
1954,46613937283.88,0.026812943150418933
1955,51025598517.61,0.09464253591930838
1956,54357529746.29,0.06529920913186515
1957,56169195765.65,0.03332870400505361
1958,57728107025.2,0.02775384689597682
1959,60536217845.12,0.048643736381208225
1960,64219542363.16,0.06084497263214672
1961,64656533895.2,0.006804650359680586
1962,67131259802.3,0.03827495471859388
1963,70817047221.02,0.05490418963646082
1964,74638325295.05,0.05395986169973721
1965,77902119880.6,0.043728132600082015
1966,81556338367.8,0.046907818334094076
1967,84088269591.02,0.031045180226233038
1968,88668288162.12,0.05446679534940868
1969,94508997078.01,0.06587145231913039
1970,102066904394.52,0.07997024146041398
1971,106226788950.09,0.040756448725933314
1972,111030158592.72,0.04521806307151799
1973,116840434672.05,0.052330611366981916
1974,116633912856.0,-0.0017675543285137207
1975,117141565410.48,0.004352529569223718
1976,123752838221.42,0.05643831707193936
1977,127012726214.97,0.026341925085527018
1978,130935257734.73999,0.030882980286015327
1979,134702305934.86,0.02877031187238832
1980,134069451390.0,-0.004698171575221899
1981,130814321821.04001,-0.024279427827977096
1982,129955896141.906,-0.006562168936734336
1983,130778829309.696,0.006332403470877379
1984,134950233786.7,0.03189663418018318
1985,139668709722.98,0.03496456289018335
1986,141475195648.6,0.01293407756972198
1987,144887991819.96802,0.02412292950521744
1988,150191278057.848,0.03660266231358644
1989,152010753702.82,0.012114389520483382
1990,154633302636.094,0.017252390830197806
1991,157419000825.72,0.01801486576395339
1992,151842284703.2,-0.03542594028210111
1993,152737062782.39,0.00589281227517735
1994,153499081204.89,0.004989086529611164
1995,156622808060.21,0.020350133895266964
1996,161032154418.14,0.028152645279064137
1997,161462973972.73,0.0026753635393297337
1998,160566640410.99,-0.0055513257292746365
1999,163828611971.14,0.020315375297139004
2000,168010111867.04,0.025523624021404734
2001,169567208896.41998,0.009267876868103153
2002,172974650285.5,0.02009493115594929
2003,181764616992.08,0.05081650225667089
2004,187514496498.06,0.031633656765169826
2005,193423927891.96,0.03151453089900769
2006,199677509536.38,0.032330961906186895
2007,204943292547.93,0.026371437743671455
2008,208095332512.08,0.01538005916154983
2009,204004614386.58,-0.019657904269729465
2010,215482730316.92,0.0562640015023852
2011,222389491076.41998,0.03205250253392422
2012,225593501304.13,0.01440720158224118
2013,227013332266.34,0.006293758259888316
2014,227470441149.27,0.0020135772571880928
2015,227211444822.53,-0.001138593328572468
2016,227301954876.96,0.000398351652139306
2017,230881497790.04,0.015747963606461912
2018,235257258967.5,0.018952411602246366
2019,237289377203.77002,0.008637855618945034
2020,225815581143.03,-0.04835360181710535
2021,237662364178.74,0.052462203784805705
2022,238962604055.03,0.0054709540603246065
2023,241116673427.3,0.009014253007445294
